"course_title","code","subject","description"
"Reading and Conference","EURO ST 290","EURO ST - European Languages and Studies","Studies in selected areas. Topics addressed vary each quarter.Repeatability: Unlimited as topics vary.Restriction: Graduate students only."
"Independent Research","EURO ST 299","EURO ST - European Languages and Studies","For students to do independent research with advisors on their master's thesis or master's examination reading lists.Restriction: Graduate students only. School of Humanities students only."
"Topics in Europe in the Middle Ages","EURO ST 9","EURO ST - European Languages and Studies","Explores the literature, history, and thought of the European Middle Ages. Topics may include understandings of self and community, aristocratic power and courtly life, colonialism, crusading, religious beliefs and persecution, monasticism and reform, university culture, epic literature, and Arthurian romance.Repeatability: Unlimited as topics vary.(IV and VIII )."
"Historical Foundations: Europe and the Foundations of the Modern World","EURO ST S10","EURO ST - European Languages and Studies","Encompasses a variety of perspectives in the social sciences and the humanities involving crucial developments coming out of Europe from roughly 1500 to 1800, (the Protestant Reformation through the French Revolution), that helped shape the modern (western) world.Overlaps withEURO ST 10.((III or IV) and VIII )."
"Europe's Futures: 1755-Present","EURO ST S11","EURO ST - European Languages and Studies","Introduces students to competing approaches from humanities and social sciences to conceptualizing the future in politics, art, and literature. From the enlightenment to today, investigates the cultural and political context of moments when new ideas emerged to secure Europe's futures.Overlaps withEURO ST 11.((III or IV) and VIII )."
"Introduction to Earth System Science","EARTHSS 1","EARTHSS - Earth System Science","Covers the origin and evolution of the Earth, its atmosphere, and oceans, from the perspective of biogeochemical cycles, energy use, and human impacts on the Earth system.(II and VA )."
"Special Topics in Earth System Science","EARTHSS 100","EARTHSS - Earth System Science","Devoted to current topics in the field of Earth System Science. Topics addressed vary each quarter.Prerequisite: (EARTHSS 51andEARTHSS 53andEARTHSS 55) or (EARTHSS 70AandEARTHSS 70B)Repeatability: May be taken for credit for 12 units as topics vary.Restriction: Environmental Science and Policy Majors have first consideration for enrollment. Earth System Science Majors have first consideration for enrollment."
"Global Climate Change and Impacts","EARTHSS 112","EARTHSS - Earth System Science","Observations over the 20th century show extensive changes in atmospheric composition, climate and weather, and biological systems that have paralleled industrial growth. Evidence of globally driven changes in these biogeochemical systems is studied, including projected impacts over the 21st century.Prerequisite: (EARTHSS 51andEARTHSS 53andEARTHSS 55) or (EARTHSS 70AandEARTHSS 70B)Restriction: Environmental Science and Policy Majors have first consideration for enrollment. Environmental Science Majors have first consideration for enrollment. Earth System Science Majors have first consideration for enrollment."
"Earth System Science Laboratory and Field Methods","EARTHSS 114","EARTHSS - Earth System Science","Introduction to methods used to measure exchange of gases and energy between the atmosphere and terrestrial ecosystems. Laboratories include data acquisition and isotopic and chromatographic analysis. Field measurements at UCI's Marsh Reserve include microclimate, hydrology, trace-gas exchange, and plant growth. Materials fee.Prerequisite: (EARTHSS 51andEARTHSS 53andEARTHSS 55) or (EARTHSS 70AandEARTHSS 70B)Restriction: Environmental Science and Policy Majors have first consideration for enrollment. Environmental Science Majors have first consideration for enrollment. Earth System Science Majors have first consideration for enrollment."
"Aquatic Field Methods","EARTHSS 115","EARTHSS - Earth System Science","Students design sampling plans, conduct field research techniques, and carry out data analyses that are relevant to aquatic field research. Aquatic field sites covered in the course include marine, estuarine, and fluvial systems. Materials fee.Prerequisite: (EARTHSS 51andEARTHSS 53andEARTHSS 55) or (EARTHSS 70AandEARTHSS 70B)Restriction: Environmental Science and Policy Majors have first consideration for enrollment. Environmental Science Majors have first consideration for enrollment. Earth System Science Majors have first consideration for enrollment."
"Introduction to Environmental Data Science","EARTHSS 116","EARTHSS - Earth System Science","Analysis and interpretation of geophysical data, including functional fitting, probability density functions, and multidimensional time-series methods, with applications in atmospheric, oceanic, and biogeochemical sciences.Prerequisite: (EARTHSS 51andEARTHSS 53andEARTHSS 55) or (EARTHSS 70AandEARTHSS 70B)Restriction: Environmental Science and Policy Majors have first consideration for enrollment. Environmental Science Majors have first consideration for enrollment. Earth System Science Majors have first consideration for enrollment."
