"code","level","title","description","credits"
"URDU 1103","Undergraduate","Intermediate Urdu I","Continued study of Urdu language, with appropriate cultural background; development of listening, reading, speaking, and writing skills.
Prereq: 1102, or permission of instructor. Not open to students with credit for 103, 104, or to native speakers or EM credit. This course is available for EM credit. GE for lang course. GE world languages course.",4
"UZBEK 1101","Undergraduate","Elementary Uzbek I","Introduction to Uzbek language; development of listening, reading, speaking and writing skills.
Prereq: Not available to native speakers. This course is available for EM credit. GE for lang course. GE world languages course.",4
"JEWSHST 2700","Undergraduate","Introduction to the Hebrew Bible/Old Testament","Introduction to the Hebrew Bible/Old Testament is taught from a historical perspective. The HB/OT is a collection of texts designed to create and fortify the ethnic identity of a single group within imperial contexts, while focusing on the formation of gender identity and race. The student will study the cultural dimensions of the ancient societies in which the HB/OT was written.
Prereq: English 1110.xx, or GE foundation writing and info literacy course. Not open to students with credit for 2700H, Hebrew 2700, or 2700H. GE lit and diversity global studies course. GE foundation lit, vis and performing arts and race, ethnicity and gender div course. Cross-listed in Hebrew.",3
"NELC 3111","Undergraduate","Ancient Empires","This is an introduction to the history and cultures of the ancient empires of southwestern Asia, focusing on the period from the Akkadian empire to the establishment of Islam (ca 2340 BCE - ca 750 CE).
Prereq: English 1110. GE historical study course. GE foundation historical and cultural studies course.",3
"NELC 3025","Undergraduate","Citizenship and Diaspora: Living in Between Countries and Cultures","This course examines histories, lived experiences, and artistic representations of citizenship and diaspora. Over the course of the semester, we will focus on South Asia, specifically India/Pakistan, and the Middle East, specifically Israel/Palestine, two societies in which citizenship and diaspora have been particularly significant and complex, as well as diasporic communities in the US.
Prereq: Not open to students with credit for SAsia 3025. GE theme citizenship for div and just wrld course, High-Impact Practice Interdisciplinary and Integrated Collaborative Teaching. Cross-listed in SAsia.",4
"SPHHRNG 5193","Undergraduate","Individual Studies","Conference, library, and laboratory work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 3"
"SPANISH 4555E","Undergraduate","Indigenous, Colonial & National Literatures and Cultures of Spanish America","Introductory critical study of issues and processes in the formation of indigenous, colonial, and national expression through 19th century regional discourses.
Prereq: Honors standing; and a grade of C- or above in 3450H; and GPA 3.4 or above. Not open to students with credit for 555E. FL Admis Cond course.",3
"SPHHRNG 5193","Graduate","Individual Studies","Conference, library, and laboratory work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 3"
"SPHHRNG 4999H","Undergraduate","Honors Research and Thesis","A program of independent study for the student with special aptitudes; individual conferences and reports, leading to the completion of the Honors thesis.
Prereq: SphHrng GPA 3.4 or above, Sr. standing, permission of the instructor and permission of the ASC Honors Committee. Not open to students with 15 qtr cr hrs in 783H. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","2 - 10"
"SPANISH 4999","Undergraduate","Research for Thesis","Undergraduate research for Thesis.
Prereq: Permission of instructor. Repeatable to a maximum of 59 cr hrs or 16 completions. This course is graded S/U.","1 - 9"
"SPHHRNG 4999","Undergraduate","Baccalaureate Research and Thesis","A program of directed independent study for the academically strong student with an interest in research and the desire to complete a thesis.
Prereq: GPA 3.4 or above in SphHrng, and Jr or Sr standing, and permission of the instructor. Not open to students with maximum cr hrs in 4999H or 783H. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","2 - 10"
"SPANISH 2208.22","Undergraduate","Andean Music Ensemble","Learning to playing and performing music from Bolivia, Peru, Ecuador, Chile, Colombia and Argentina. The course explores various musical genres within the Andean region. Students study techniques and methods for playing Andean instruments and learn to sing in Spanish, Quechua and Aymara.
Repeatable to a maximum of 10 cr hrs or 10 completions. Cross-listed in Music.","0.5 - 1"
"SPANISH 5660E","Undergraduate","Seminar in Latin American Literatures and Cultures","Intensive study of a major theme, author, literary or cultural problem related to Latin America. Required for students completing the Latin American Concentration of the Spanish major. Only one course taught in English at the 4000 or 5000-level may count toward the Spanish Major program.
Prereq: A grade of C- or above in 3450 or 3450H, and honors standing, plus any two of: 4515, 4516, 4555, 4555E, 4556, 4558, 4560, 4560H, 4565H, 4570, 4580, 4595.03, or 5640. Repeatable to a maximum of 9 cr hrs.",3
"EEOB 3191","Undergraduate","Undergraduate Internship","Internship held as undergraduate for credit.
Prereq: 8 cr hrs in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 3"
"COMM 2367","Undergraduate","Persuasive Communication","This course is designed to increase your understanding of persuasive communication as it relates to citizenship and the American experience. As an advanced level writing course, the course is specifically designed to improve your persuasive writing, speaking, and critical thinking skills as specific citizenship behaviors.
Prereq: Completion of GE Foundation Writing and Information Literacy course. Not open to students with credit for 2367H. GE writing and comm course: level 2. GE theme citizenship for div and just wrld course.",3
"EEOB 4998","Undergraduate","Undergraduate Research","Undergraduate research in evolution, ecology, and organismal biology.
Prereq: 2 courses in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
"EEOB 4998H","Undergraduate","Undergraduate Research - Honors","Honors undergraduate research in evolution, ecology, and organismal biology.
Prereq: Honors standing, and 2 courses in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
"EEOB 4999","Undergraduate","Undergraduate Thesis Research","Undergraduate research towards a thesis in Evolution and Ecology, or Zoology.
Prereq: 8 cr hrs in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
